Title,Year,Stars,Director,Genre
Let's Do It Again,1975,"Sidney Poitier, Bill Cosby, Calvin Lockhart",Sidney Poitier,Comedy
Life,1999,"Eddie Murphy, Martin Lawrence, Obba Babatundé",Ted Demme,Comedy
Life-Size,2000,"Lindsay Lohan, Jere Burns, Anne Marie DeLuise",Mark Rosman,Comedy
Like Mike,2002,"Bow Wow, Jonathan Lipnicki, Morris Chestnut",John Schultz,Comedy
Like Mike 2: Streetball,2006,"Jascha Washington, Kel Mitchell, Michael Beach",David Nelson,Comedy
Lilies of the Field,1963,"Sidney Poitier, Lilia Skala, Lisa Mann",Ralph Nelson,Comedy
Little Man,2006,"Shawn Wayans, Marlon Wayans, Kerry Washington",Keenen Ivory Wayans,Comedy
Livin' Large!,1991,"Terrence ‘T.C.’ Carson, Lisa Arrindell Anderson, Blanche Baker",Michael Schultz,Comedy
Lord All Men Can't Be Dogs,2011,"Vivica A. Fox, Christian Keyes, Elise Neal",T.J. Hemphill,Comedy
Lottery Ticket,2010,"Bow Wow, Brandon T. Jackson, Naturi Naughton",Erik White,Comedy
Love Don't Cost a Thing,2003,"Nick Cannon, Christina Milian, Jordan Burg",Troy Byer,Comedy
Made in America,1993,"Whoopi Goldberg, Ted Danson, Will Smith",Richard Benjamin,Comedy
Madea Goes to Jail,2009,"Tyler Perry, Keshia Knight Pulliam, Derek Luke",Tyler Perry,Comedy
Madea's Big Happy Family,2011,"Tyler Perry, Loretta Devine, Bow Wow",Tyler Perry,Comedy
Madea's Family Reunion,2006,"Tyler Perry, Blair Underwood, Lynn Whitfield",Tyler Perry,Comedy
Madea's Witness Protection,2012,"Tyler Perry, Eugene Levy, Denise Richards",Tyler Perry,Comedy
Major Payne,1995,"Damon Wayans, Michael Ironside, Scott Bigalow",Nick Castle,Comedy
Masquerade,2000,"Simbi Khali, Cress Williams, Kellita Smith",Roy Campanella II,Comedy
Meet Dave,2008,"Eddie Murphy, Elizabeth Banks, Gabrielle Union",Brian Robbins,Comedy
Meet the Browns,2008,"Tamela J. Mann, Angela Bassett, Tyler Perry",Tyler Perry,Comedy
Men in Black,1997,"Tommy Lee Jones, Will Smith, Linda Fiorentino",Barry Sonnenfeld,Comedy
Men in Black II,2002,"Tommy Lee Jones, Will Smith, Rip Torn",Barry Sonnenfeld,Comedy
Mississippi Masala,1991,"Denzel Washington, Sarita Choudhury, Roshan Seth",Mira Nair,Comedy
Mistaken Identity aka Murder with Music,1941,"Bob Howard, Milton Williams, Nellie Hill",George P. Quigley,Comedy
Mother Jugs and Speed,1976,"Bill Cosby, Raquel Welch, Harvey Keitel",Peter Yates,Comedy
Moving,1988,"Richard Pryor, Beverly Todd, Stacey Dash",Alan Metter,Comedy
Mo' Money,1992,"Damon Wayans, Stacey Dash, Marlon Wayans",Peter MacDonald,Comedy
Mr. 3000,2004,"Bernie Mac, Angela Bassett, Michael Rispoli",Charles Stone III,Comedy
National Security,2003,"Martin Lawrence, Steve Zahn, Colm Feore",Dennis Dugan,Comedy
Next Friday,2000,"Ice Cube, Mike Epps, Justin Pierce",Steve Carr,Comedy
Nora's Hair Salon,2004,"Tatyana Ali, Kristian Bernard, Bobby Brown",Jerry LaMothe,Comedy
Note to Self,2012,"Christian Keyes, Richard T. Jones, Chidi Ajufo",Trey Haley,Comedy
Old Dracula,1975,"David Niven, Teresa Graves, Peter Bayliss",Clive Donner,Comedy
Our Family Wedding,2010,"America Ferrera, Forest Whitaker, Carlos Mencia",Rick Famuyiwa,Comedy
Paradise in Harlem,1939,"Frank H. Wilson, Mamie Smith, Norman Astwood",Joseph Seiden,Comedy
Perfect Combination,2010,"Christian Keyes, Tiffany Hines, Angell Conwell",Trey Haley,Comedy
Perfect Holiday,2007,"Gabrielle Union, Morris Chestnut, Queen Latifah",Lance Rivera,Comedy
Petey Wheatstraw,1977,"Rudy Ray Moore, Jimmy Lynch, Leroy Daniels",Cliff Roquemore,Comedy
Phat Beach,1996,"Jermaine ‘Huggy’ Hopkins, Brian Hooks, Claudia Kaleem",Doug Ellin,Comedy
Phat Girlz,2006,"Mo’Nique, Kendra C. Johnson, Jimmy Jean-Louis",Nnegest Likké,Comedy
Pootie Tang,2001,"Chris Rock, Lance Crouther, J.B. Smoove",Louis C.K.,Comedy
Preaching to the Choir,2005,"Billoah Greene, Darien Sills-Evans, Novella Nelson",Charles Randolph-Wright,Comedy
Purlie Victorious aka Gone Are the Days,1963,"Ossie Davis, Ruby Dee, Godfrey Cambridge",Nicholas Webster,Comedy
Putney Swope,1969,"Arnold Johnson, Stan Gottlieb, Allen Garfield",Robert Downey Sr.,Comedy
Rage in Harlem,1991,"Forest Whitaker, Gregory Hines, Robin Givens",Bill Duke,Comedy
Rebound,2005,"Martin Lawrence, Megan Mullally, Breckin Meyer",Steve Carr,Comedy
Ride,1998,"Melissa De Sousa, John Witherspoon, Cedric the Entertainer",Millicent Shelton,Comedy
Roll Bounce,2005,"Bow Wow, Nick Cannon, Meagan Good",Malcolm D. Lee,Comedy
Rush Hour,1998,"Jackie Chan, Chris Tucker, Ken Leung",Brett Ratner,Comedy
Rush Hour 2,2001,"Jackie Chan, Chris Tucker, John Lone",Brett Ratner,Comedy
Rush Hour 3,2007,"Jackie Chan, Chris Tucker, Max von Sydow",Brett Ratner,Comedy
Sankofa,1993,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah",Haile Gerima,Comedy
School Daze,1988,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin",Spike Lee,Comedy
"See No Evil, Hear No Evil",1989,"Richard Pryor, Gene Wilder, Joan Severance",Arthur Hiller,Comedy
Seventeen Again,2000,"Tia Mowry-Hardrict, Tamera Mowry-Housley, Mark Taylor",Jeffrey W. Byrd,Comedy
She Hate Me,2004,"Anthony Mackie, Kerry Washington, Ellen Barkin",Spike Lee,Comedy
She's Gotta Have It,1986,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell",Spike Lee,Comedy
Silver Streak,1976,"Gene Wilder, Richard Pryor, Jill Clayburgh",Arthur Hiller,Comedy
Sister Act,1992,"Whoopi Goldberg, Maggie Smith, Kathy Najimy",Emile Ardolino,Comedy
Sister Act 2,1993,"Whoopi Goldberg, Kathy Najimy, Maggie Smith",Bill Duke,Comedy
Snow Dogs,2002,"Cuba Gooding Jr., James Coburn, Sisqó",Brian Levant,Comedy
Some Kind of Hero,1982,"Richard Pryor, Margot Kidder, Ray Sharkey",Michael Pressman,Comedy
Something New,2006,"Sanaa Lathan, Simon Baker, Golden Brooks",Sanaa Hamri,Comedy
Soul Food,1997,"Vanessa Williams, Vivica A. Fox, Nia Long",George Tillman Jr.,Comedy
Soul Men,2008,"Samuel L. Jackson, Bernie Mac, Sharon Leal",Malcolm D. Lee,Comedy
Soul Plane,2004,"Dwayne Adway, Snoop Dogg, Tom Arnold", Jessy Terrero,Comedy
Space Jam,1996,"Michael Jordan, Wayne Knight, Theresa Randle",Joe Pytka,Comedy
Sprung,1997,"Tisha Campbell-Martin, Rusty Cundieff, Paula Jai Parker",Rusty Cundieff,Comedy
Stir Crazy,1980,"Gene Wilder, Richard Pryor, Georg Stanford Brown",Sidney Poitier,Comedy
Strictly Business,1991,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson",Kevin Hooks,Comedy
Sunday Sinners,1940,"Earl Sydnor, Norman Astwood, Edna Mae Harris",Arthur Dreifuss,Comedy
Tap,1989,"Gregory Hines, Suzzanne Douglas, Sammy Davis Jr.",Nick Castle,Comedy
Thank God It’s Friday,1978,"Donna Summer, Valerie Landsburg, Terri Nunn",Robert Klane,Comedy
The Associate,1996,"Whoopi Goldberg, Dianne Wiest, Eli Wallach",Donald Petrie,Comedy
The Best Man,1999,"Taye Diggs, Nia Long, Morris Chestnut",Malcolm D. Lee,Comedy
The Breaks,1999,"Isaiah Barnes, Paula Bel, Paul Benjamin",Eric Meza,Comedy
The Brother From Another Planet,1984," Joe Morton, Daryl Edwards, Rosanna Carter",John Sayles,Comedy
The Brothers,2001,"Morris Chestnut, Shemar Moore, D.L. Hughley",Gary Hardwick,Comedy
The Cheetah Girls,2003,"Raven-Symoné, Adrienne Bailon, Kiely Williams",Oz Scott,Comedy
The Cheetah Girls 2,2006,"Raven-Symoné, Adrienne Bailon, Sabrina Bryan",Kenny Ortega,Comedy
The Cheetah Girls' One World,2008,"Adrienne Bailon, Sabrina Bryan, Kiely Williams",Paul Hoen,Comedy
The Cookout,2004,"Quran Pender, Jenifer Lewis, Ja Rule",Lance Rivera,Comedy
The Distinguished Gentleman,1992,"Eddie Murphy, Lane Smith, Sheryl Lee Ralph",Jonathan Lynn,Comedy
The Fighting Temptations,2003,"Cuba Gooding Jr., Beyoncé Knowles, Mike Epps",Jonathan Lynn,Comedy
The Fish that Saved Pittsburgh,1979,"Julius Erving, Jonathan Winters, Meadowlark Lemon",Gilbert Moses,Comedy
The Gods Must Be Crazy,1980,"N!xau, Marius Weyers, Sandra Prinsloo",Jamie Uys,Comedy
The Golden Child,1986,"Eddie Murphy, J.L. Reate, Charles Dance",Michael Ritchie,Comedy
The Great White Hype,1996,"Samuel L. Jackson, Jeff Goldblum, Damon Wayans",Reginald Hudlin,Comedy
The Human Tornado,1976,"Rudy Ray Moore, Lady Reed, Jimmy Lynch",Cliff Roquemore,Comedy
The Inkwell,1994,"Larenz Tate, Joe Morton, Suzzanne Douglas",Matty Rich,Comedy
The Ladies Man,2000,"Tim Meadows, Karyn Parsons, Billy Dee Williams",Reginald Hudlin,Comedy
The Landlord,1970,"Beau Bridges, Lee Grant, Diana Sands",Hal Ashby,Comedy
The Last Dragon,1985,"Taimak, Vanity, Christopher Murney",Michael Schultz,Comedy
The Longshots,2008,"Ice Cube, Keke Palmer, Tasha Smith",Fred Durst,Comedy
The Love Section,2013,"Mekhi Phifer, Lawrence B. Adisa, Brian Hooks",Ronnie Warner,Comedy
The Meteor Man,1993,"Robert Townsend, Marla Gibbs, Eddie Griffin",Robert Townsend,Comedy
The Monkey Hustle,1976,"Yaphet Kotto, Kirk Calloway, Thomas Carter",Arthur Marks,Comedy
The Nutty Professor,1996,"Eddie Murphy, Jada Pinkett Smith, James Coburn",Tom Shadyac,Comedy
The Old Settler,2001,"Phylicia Rashad, Debbie Allen, Bumper Robinson",Debbie Allen,Comedy
