Title,Year,Stars,Director,Genre
In His Father's Shoes,1997,"Louis Gossett Jr., Barbara Eve Harris, Rachael Crawford",Vic Sarin,Drama
In the Heat of the Night,1967,"Sidney Poitier, Rod Steiger, Warren Oates",Norman Jewison,Drama
Inside Man,2006,"Denzel Washington, Clive Owen, Jodie Foster",Spike Lee,Drama
Introducing Dorothy Dandridge,1999,"Halle Berry, Brent Spiner, Klaus Maria Brandauer",Martha Coolidge,Drama
Intruder in the Dust – 1949,1949,"David Brian, Claude Jarman Jr., Juano Hernandez",Clarence Brown,Drama
Island in the Sun,1957,"James Mason, Joan Fontaine, Dorothy Dandridge",Robert Rossen,Drama
Jason's Lyric,1994,"Allen Payne, Jada Pinkett Smith, Bokeem Woodbine",Doug McHenry,Drama
"Jo Jo Dancer, Your Life is Calling",1986,"Richard Pryor, Debbie Allen, Art Evans",Richard Pryor,Drama
John Q,2002,"Denzel Washington, Robert Duvall, Gabriela Oltean",Nick Cassavetes,Drama
Johnny Tough,1974,"Dion Gossett, Christopher Townes, Renny Roker",Horace Jackson,Drama
"Joshua, The Black Rider",1976,"Fred Williamson, Cal Bartlett, Brenda Venus",Larry G. Spangler,Drama
Juice,1992,"Omar Epps, Tupac Shakur, Jermaine ‘Huggy’ Hopkins",Ernest R. Dickerson,Drama
Juke Joint,1947,"Spencer Williams, July Jones, Inez Newell",Spencer Williams,Drama
Jump In!,2007,"Corbin Bleu, Keke Palmer, David Reivers",Paul Hoen,Drama
Jumping the Broom,2011,"Paula Patton, Laz Alonso, Angela Bassett",Salim Akil,Drama
Jungle Fever,1991,"Wesley Snipes, Annabella Sciorra, Spike Lee",Spike Lee,Drama
Just Another Girl on the I.R. T.,1992,"Ariyan A. Johnson, Kevin Thigpen, Ebony Jerido",Leslie Harris,Drama
Juwanna Mann,2002,"Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox",Jesse Vaughan,Drama
Killer of Sheep,1979,"Henry G. Sanders, Kaycee Moore, Charles Bracy",Charles Burnett,Drama
King,1978,"Paul Winfield, Cicely Tyson, Tony Bennett",Abby Mann,Drama
Kingdom Come,2001,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox",Doug McHenry,Drama
Kings of the Evening,2008,"Tyson Beckford, Lynn Whitfield, Glynn Turman",Andrew P. Jones,Drama
Krush Groove,1985,"Sheila E., Joseph Simmons, Darryl McDaniels",Michael Schultz,Drama
Lackawanna Blues,2005,"S. Epatha Merkerson, Marcus Carl Franklin, Mos Def",George C. Wolfe,Drama
Lady Cocoa,1975,"Lola Falana, Gene Washington, Alex Dreier",Matt Cimber,Drama
Lady Sings the Blues,1972,"Diana Ross, Billy Dee Williams, Richard Pryor",Sidney J. Furie,Drama
Lakeview Terrace,2008,"Samuel L. Jackson, Patrick Wilson, Kerry Washington",Neil LaBute,Drama
Last Holiday,2006,"Queen Latifah, LL Cool J, Timothy Hutton",Wayne Wang,Drama
Leadbelly,1976,"Roger E. Mosley, Paul Benjamin, Madge Sinclair",Gordon Parks,Drama
Lean on Me,1989,"Morgan Freeman, Beverly Todd, Robert Guillaume",John G. Avildsen,Drama
Life,1999,"Eddie Murphy, Martin Lawrence, Obba Babatundé",Ted Demme,Drama
Life Support,2007,"Queen Latifah, Vianca Mercedes, Anna Deavere Smith",Nelson George,Drama
Light It Up,1999,"Usher Raymond, Forest Whitaker, Rosario Dawson",Craig Bolotin,Drama
Lilies of the Field,1963,"Sidney Poitier, Lilia Skala, Lisa Mann",Ralph Nelson,Drama
Little John,2002,"Ving Rhames, Gloria Reuben, Ruben Santiago-Hudson",Dick Lowry,Drama
Little Richard,2000,"Leon, Jenifer Lewis, Carl Lumbly",Robert Townsend,Drama
Livin' Large!,1991,"Terrence ‘T.C.’ Carson, Lisa Arrindell Anderson, Blanche Baker",Michael Schultz,Drama
Losing Isaiah,1995,"Jessica Lange, Halle Berry, David Strathairn",Stephen Gyllenhaal,Drama
Love and Basketball,2000,"Sanaa Lathan, Omar Epps, Glenndon Chatman",Gina Prince-Bythewood,Drama
Love Beat the Hell Outta Me,2000,"Glenn Plummer, Terrence Howard, Clyde Jones", Kennedy Goldsby,Drama
Love Come Down,2000,"Larenz Tate, Deborah Cox, Martin Cummins",Clément Virgo,Drama
Love Don't Cost a Thing,2003,"Nick Cannon, Christina Milian, Jordan Burg",Troy Byer,Drama
Love Jones,1997,"Larenz Tate, Nia Long, Isaiah Washington",Theodore Witcher,Drama
Lying Lips,1939,"Edna Mae Harris, Carman Newsome, Robert Earl",Oscar Micheaux,Drama
Madea Goes to Jail,2009,"Tyler Perry, Keshia Knight Pulliam, Derek Luke",Tyler Perry,Drama
