Rank,Release Group,Worldwide,Domestic,%,Foreign,%
166,Held,"$100,378","$100,378",100%,-,-
167,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
168,From the Vine,"$97,995",-,-,"$97,995",100%
169,Demon Hunter,"$97,740",-,-,"$97,740",100%
170,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
171,Khara Khaar,"$89,983",-,-,"$89,983",100%
172,Kieu,"$89,973",-,-,"$89,973",100%
173,Breakout Brothers,"$85,037",-,-,"$85,037",100%
174,The Lord of the Rings: The Two Towers 2021 Re-release,"$84,695",-,-,"$84,695",100%
175,Hvernig á að vera Klassa Drusla,"$82,183",-,-,"$82,183",100%
176,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
177,My Missing Valentine,"$74,787",-,-,"$74,787",100%
178,Simple Passion,"$72,358",-,-,"$72,358",100%
179,Russia from Above,"$71,629",-,-,"$71,629",100%
180,Mick Fleetwood & Friends celebrate the music of Peter Green,"$70,764",-,-,"$70,764",100%
181,Nayattu,"$70,200",-,-,"$70,200",100%
182,Son,"$69,739","$55,068",79%,"$14,671",21%
183,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
184,Come True,"$62,080","$62,080",100%,-,-
185,Kala,"$60,895",-,-,"$60,895",100%
186,Haunted,"$57,901",-,-,"$57,901",100%
187,Shiva Baby,"$56,050","$56,050",100%,-,-
188,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
189,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
190,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
191,My Zoe,"$51,808","$51,808",100%,-,-
192,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
193,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
194,Reel Rock 15,"$48,412",-,-,"$48,412",100%
195,Last Call,"$48,144","$48,144",100%,-,-
196,Kieu @,"$46,763",-,-,"$46,763",100%
197,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
198,MLK/FBI,"$45,200","$45,200",100%,-,-
199,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
200,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
201,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
202,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
203,Senior Moment,"$41,598","$41,598",100%,-,-
204,Nizhal,"$40,298",-,-,"$40,298",100%
205,Way Back Home,"$39,073",-,-,"$39,073",100%
206,Little Fish,"$39,053","$39,053",100%,-,-
207,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
208,Anugraheethan Antony,"$35,224",-,-,"$35,224",100%
209,Yuvarathnaa,"$34,007",-,-,"$34,007",100%
210,The People Upstairs,"$33,404",-,-,"$33,404",100%
211,Honeydew,"$32,890","$32,890",100%,-,-
212,Fighter,"$32,838",-,-,"$32,838",100%
213,Crime Boss,"$32,749",-,-,"$32,749",100%
214,"Botticelli, Florence And The Medici","$32,323",-,-,"$32,323",100%
215,Trigger Point,"$29,262","$29,262",100%,-,-
216,Bloody Hell,"$28,037","$28,037",100%,-,-
217,Jakob's Wife,"$27,588","$27,588",100%,-,-
218,Playhouse,"$27,436",-,-,"$27,436",100%
219,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
220,Daisy Quokka: World's Scariest Animal,"$26,960",-,-,"$26,960",100%
221,The Night,"$26,114","$26,114",100%,-,-
222,The Pinkies Are Back,"$24,729",-,-,"$24,729",100%
223,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
224,Fear of Rain,"$24,565",-,-,"$24,565",100%
225,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
226,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
227,Saina,"$22,765",-,-,"$22,765",100%
228,The Redeemers,"$22,283",-,-,"$22,283",100%
229,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
230,The Penitent Thief,"$21,507",-,-,"$21,507",100%
231,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
232,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
233,Beyond the Sky,"$19,761",-,-,"$19,761",100%
234,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
235,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
236,Monday,"$18,767","$18,767",100%,-,-
237,Dead Reckoning,"$18,016",-,-,"$18,016",100%
238,Mystery of the Kingdom of God,"$17,316","$17,316",100%,-,-
239,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
240,Ya Baada,"$16,310",-,-,"$16,310",100%
241,Easter in Art,"$15,101",-,-,"$15,101",100%
242,Raphael: The Young Prodigy,"$14,258",-,-,"$14,258",100%
243,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
244,Body Brokers,"$13,472",-,-,"$13,472",100%
245,Stray,"$13,428","$13,325",99.2%,$103,0.8%
246,Kaadan,"$12,080",-,-,"$12,080",100%
247,È per il tuo bene,"$12,023",-,-,"$12,023",100%
248,The Devil Below,"$12,008",-,-,"$12,008",100%
249,Rurangi,"$11,624",-,-,"$11,624",100%
250,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
251,Bennett's War 2021 Re-release,"$11,213",-,-,"$11,213",100%
252,We Broke Up,"$11,003","$11,003",100%,-,-
253,Barb and Star Go to Vista Del Mar,"$10,857",-,-,"$10,857",100%
254,About Hope,"$10,814","$10,814",100%,-,-
255,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
256,The Host,"$10,305",-,-,"$10,305",100%
257,All Hands on Deck,"$10,103",-,-,"$10,103",100%
258,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
259,The United States vs. Billie Holiday,"$9,287",-,-,"$9,287",100%
260,Average Joe,"$9,176","$9,176",100%,-,-
261,Here We Are,"$9,128",-,-,"$9,128",100%
262,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
263,What Lies Below,"$8,550",-,-,"$8,550",100%
264,Gunda,"$8,080","$5,023",62.2%,"$3,057",37.8%
265,The Delivered,"$7,486",-,-,"$7,486",100%
266,The Incredible 25th Year of Mitzi Bearclaw,"$7,357","$7,357",100%,-,-
267,Knuckledust,"$6,428",-,-,"$6,428",100%
268,Hunted,"$6,391",-,-,"$6,391",100%
269,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
270,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
271,Dark State,"$5,824","$5,824",100%,-,-
272,Uppena,"$5,794",-,-,"$5,794",100%
273,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
