Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Blade: Trinity,,2004,David S Goyer,,"$131,883,935","$52,411,906",39.7%,"$79,472,029",60.3%
Blade: Trinity,Action,2004,David S. Goyer,"Wesley Snipes, Kris Kristofferson, Parker Posey","$131,883,935","$52,411,906",39.7%,"$79,472,029",60.3%
Ray,,2004,Taylor Hackford,,"$123,971,376","$75,331,600",60.8%,"$48,639,776",39.2%
White Chicks,,2004,Keenen Ivory Wayans,,"$113,086,475","$70,831,760",62.6%,"$42,254,715",37.4%
White Chicks,Comedy,2004,Keenen Ivory Wayans,"Marlon Wayans, Shawn Wayans, Busy Philipps","$113,086,475","$70,831,760",62.6%,"$42,254,715",37.4%
Hitch,,2005,Andy Tennant,,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7%
ATL,,2006,Chris Robinson,T.I.,"$21,170,563","$21,170,563",100%,-,-
Dreamgirls,,2006,Bill Condon,,"$155,430,335","$103,365,956",66.5%,"$52,064,379",33.5%
Dreamgirls,Drama,2006,Bill Condon,"Beyoncé Knowles, Jamie Foxx, Eddie Murphy","$155,430,335","$103,365,956",66.5%,"$52,064,379",33.5%
Inside Man,,2006,Spike Lee,,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%
Inside Man,Drama,2006,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster","$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%
American Gangster,,2007,Ridley Scott,Denzel Washington,"$269,755,430","$130,164,645",48.3%,"$139,590,785",51.7%
American Gangster,,2007,Ridley Scott,,"$269,755,430","$130,164,645",48.3%,"$139,590,785",51.7%
American Gangster,Drama,2007,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor","$269,755,430","$130,164,645",48.3%,"$139,590,785",51.7%
I Am Legend,,2007,Francis Lawrence,,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%
I Am Legend,Drama,2007,Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan","$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%
Hancock,,2008,Peter Berg,,"$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%
Hancock,Action,2008,Peter Berg,"Will Smith, Charlize Theron, Jason Bateman","$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%
The Help,,2011,Tate Taylor,,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%
Beasts of the Southern Wild,,2012,Benh Zeitlin,Quvenzhané Wallis,"$21,107,746","$12,795,746",60.6%,"$8,312,000",39.4%
Django Unchained,,2012,Quentin Tarantino,,"$425,368,238","$162,805,434",38.3%,"$262,562,804",61.7%
Django Unchained,Drama,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","$425,368,238","$162,805,434",38.3%,"$262,562,804",61.7%
Black Nativity,,2013,Kasi Lemmons,Jacob Latimore,"$7,454,185","$7,018,189",94.2%,"$435,996",5.8%
The Butler,,2013,Lee Daniels,Forest Whitaker,"$1,929,069",-,-,"$1,929,069",100%
The Butler,,2013,Lee Daniels,,"$1,929,069",-,-,"$1,929,069",100%
Ride Along,,2014,Tim Storey,,"$154,468,902","$134,938,200",87.4%,"$19,530,702",12.6%
The Equalizer,,2014,Antoine Fuqua,,"$192,330,738","$101,530,738",52.8%,"$90,800,000",47.2%
Creed,,2015,Ryan Coogler,,"$173,567,581","$109,767,581",63.2%,"$63,800,000",36.8%
Straight Outta Compton,,2015,F. Gary Gray,,"$201,634,991","$161,197,785",79.9%,"$40,437,206",20.1%
The Birth of a Nation,,2016,Nate Parker,Nate Parker,"$16,779,212","$15,861,566",94.5%,"$917,646",5.5%
Central Intelligence,,2016,Rawson Marshall Thurber,,"$216,972,543","$127,440,871",58.7%,"$89,531,672",41.3%
Hidden Figures,,2016,Theodore Melfi,,"$235,956,898","$169,607,287",71.9%,"$66,349,611",28.1%
Ride Along 2,,2016,Tim Storey,,"$124,605,297","$91,221,830",73.2%,"$33,383,467",26.8%
All Eyez on Me,,2017,Benny Boom,Demetrius Shipp Jr.,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%
Get Out,,2017,Jordan Peele,,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%
Girls Trip,,2017,Malcolm D. Lee,,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%
Black Panther,,2018,Ryan Coogler,Chadwick Boseman,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
Black Panther,,2018,Ryan Coogler,,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
A Wrinkle in Time,,2018,Ava DuVernay,Storm Reid,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%
BlacKkKlansman,,2018,Spike Lee,John David Washington,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
Green Book,,2018,Peter Farrelly,Mahershala Ali,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%
The Equalizer 2,,2018,Antoine Fuqua,,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%
What Men Want,,2019,Adam Shankman,Taraji P. Henson,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%
Us,,2019,Jordan Peele,,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%
Bad Boys for Life,,2020,Adil & Bilall,Will Smith & Martin Lawrence,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
30 Years to Life,Comedy,2001,Vanessa Middleton,"Erika Alexander, Melissa De Sousa, Tracy Morgan","$103,540","$103,540",100%,-,-
30 Years to Life,Romance,2001,Vanessa Middleton,"Erika Alexander, Melissa De Sousa, Tracy Morgan","$103,540","$103,540",100%,-,-
30 Years to Life,Drama,2001,Vanessa Middleton,"Erika Alexander, Melissa De Sousa, Tracy Morgan","$103,540","$103,540",100%,-,-
35 and Ticking,Comedy,2011,Russ Parr,"Tamala Jones, Nicole Ari Parker, Kevin Hart","$113,794","$113,794",100%,-,-
35 and Ticking,Romance,2011,Russ Parr,"Tamala Jones, Nicole Ari Parker, Kevin Hart","$113,794","$113,794",100%,-,-
A Family Thing,Comedy,1996,Richard Pearce,"Robert Duvall, James Earl Jones, Michael Beach","$10,125,417","$10,125,417",100%,-,-
A Family Thing,Drama,1996,Richard Pearce,"Robert Duvall, James Earl Jones, Michael Beach","$10,125,417","$10,125,417",100%,-,-
A Thin Line Between Love and Hate,Comedy,1996,Martin Lawrence,"Martin Lawrence, Lynn Whitfield, Regina King","$34,767,836","$34,767,836",100%,-,-
A Thousand Words,Comedy,2012,Brian Robbins,"Eddie Murphy, Cliff Curtis, Kerry Washington","$22,044,277","$18,450,127",83.7%,"$3,594,150",16.3%
A Thousand Words,Drama,2012,Brian Robbins,"Eddie Murphy, Cliff Curtis, Kerry Washington","$22,044,277","$18,450,127",83.7%,"$3,594,150",16.3%
Baby Boy,Comedy,2001,John Singleton,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson","$29,381,649","$28,734,552",97.8%,"$647,097",2.2%
Baby Boy,Drama,2001,John Singleton,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson","$29,381,649","$28,734,552",97.8%,"$647,097",2.2%
Barbershop 2: Back in Business,Comedy,2004,Kevin Rodney Sullivan,"Ice Cube, Cedric the Entertainer, Eve","$65,991,448","$65,111,277",98.7%,"$880,171",1.3%
Barbershop 2: Back in Business,Drama,2004,Kevin Rodney Sullivan,"Ice Cube, Cedric the Entertainer, Eve","$65,991,448","$65,111,277",98.7%,"$880,171",1.3%
Beauty Shop,Comedy,2005,Bille Woodruff,"Queen Latifah, Alicia Silverstone, Djimon Hounsou","$37,245,453","$36,351,350",97.6%,"$894,103",2.4%
Blankman,Comedy,1994,Mike Binder,"Damon Wayans, David Alan Grier, Robin Givens","$7,941,977","$7,941,977",100%,-,-
Booty Call,Comedy,1997,Jeff Pollack,"Jamie Foxx, Tommy Davidson, Vivica A. Fox","$20,050,376","$20,050,376",100%,-,-
